Channel_Die,Start,End,Operation
-1--1,6450624,6450626,COMPUTE
-1--1,6450640,6450642,COMPUTE
-1--1,6450656,6450658,COMPUTE
-1--1,6450672,6450674,COMPUTE
-1--1,6450688,6450690,COMPUTE
-1--1,6500704,6500706,COMPUTE
-1--1,6500720,6500722,COMPUTE
-1--1,6600560,6600562,COMPUTE
-1--1,6600576,6600582,COMPUTE
1-10,6600592,6800608,READ
1-11,6600608,6800624,READ
-1--1,6600624,6600626,COMPUTE
-1--1,6700640,6700642,COMPUTE
-1--1,6700656,6700658,COMPUTE
-1--1,6700672,6700674,COMPUTE
-1--1,6700688,6700690,COMPUTE
-1--1,6700704,6700706,COMPUTE
-1--1,6700720,6700722,COMPUTE
-1--1,6750736,6750738,COMPUTE
-1--1,6850576,6850584,COMPUTE
1-9,6850592,7200624,READ
1-10,6850608,8250704,READ
1-11,6850624,7050640,READ
-1--1,6850640,6850642,COMPUTE
-1--1,6950656,6950658,COMPUTE
-1--1,6950672,6950674,COMPUTE
-1--1,6950688,6950690,COMPUTE
-1--1,6950704,6950706,COMPUTE
-1--1,6950720,6950722,COMPUTE
-1--1,6950736,6950738,COMPUTE
-1--1,7000752,7000756,COMPUTE
1-8,7000768,10400992,READ
-1--1,7050608,7050610,COMPUTE
-1--1,7100624,7100630,COMPUTE
1-11,7100640,7500672,READ
1-0,7100656,8250736,READ
-1--1,7150672,7150674,COMPUTE
-1--1,7200688,7200690,COMPUTE
-1--1,7200704,7200710,COMPUTE
1-4,7200720,7600752,READ
1-5,7200736,7650768,READ
-1--1,7200752,7200754,COMPUTE
-1--1,7200768,7200770,COMPUTE
-1--1,7250784,7250788,COMPUTE
1-9,7250800,9400944,READ
-1--1,7300640,7300642,COMPUTE
-1--1,7350656,7350658,COMPUTE
-1--1,7350672,7350676,COMPUTE
1-1,7350688,7550704,READ
-1--1,7450704,7450706,COMPUTE
-1--1,7450720,7450722,COMPUTE
-1--1,7450736,7450738,COMPUTE
-1--1,7450752,7450756,COMPUTE
1-6,7450768,7900800,READ
-1--1,7450784,7450786,COMPUTE
-1--1,7500800,7500802,COMPUTE
-1--1,7500816,7500818,COMPUTE
-1--1,7550656,7550660,COMPUTE
1-11,7550672,7750688,READ
-1--1,7600688,7600692,COMPUTE
1-1,7600704,7800720,READ
-1--1,7700720,7700728,COMPUTE
1-3,7700736,7900752,READ
1-4,7700752,8650816,READ
1-5,7700768,8150800,READ
-1--1,7700784,7700786,COMPUTE
-1--1,7700800,7700802,COMPUTE
-1--1,7700816,7700818,COMPUTE
-1--1,7750832,7750834,COMPUTE
-1--1,7800672,7800676,COMPUTE
1-11,7800688,8000704,READ
-1--1,7850704,7850708,COMPUTE
1-1,7850720,8500768,READ
-1--1,7950736,7950740,COMPUTE
1-3,7950752,8400784,READ
-1--1,7950768,7950770,COMPUTE
-1--1,7950784,7950790,COMPUTE
1-6,7950800,8400832,READ
1-7,7950816,8150832,READ
-1--1,7950832,7950834,COMPUTE
-1--1,8000848,8000850,COMPUTE
-1--1,8050688,8050692,COMPUTE
1-11,8050704,8250720,READ
-1--1,8050720,8050722,COMPUTE
-1--1,8100736,8100738,COMPUTE
-1--1,8200752,8200754,COMPUTE
-1--1,8200768,8200770,COMPUTE
-1--1,8200784,8200788,COMPUTE
1-5,8200800,8400816,READ
-1--1,8200816,8200820,COMPUTE
1-7,8200832,9400912,READ
-1--1,8200848,8200850,COMPUTE
-1--1,8250864,8250872,COMPUTE
1-10,8250880,8900928,READ
1-11,8250896,8700928,READ
1-0,8250912,8450928,READ
-1--1,8300752,8300754,COMPUTE
-1--1,8450768,8450772,COMPUTE
1-3,8450784,9150832,READ
-1--1,8450800,8450806,COMPUTE
1-5,8450816,8650832,READ
1-6,8450832,9600912,READ
-1--1,8450848,8450850,COMPUTE
-1--1,8450864,8450866,COMPUTE
-1--1,8500880,8500882,COMPUTE
-1--1,8500896,8500898,COMPUTE
-1--1,8500912,8500918,COMPUTE
1-0,8500928,9200976,READ
1-1,8500944,8700960,READ
-1--1,8700784,8700786,COMPUTE
-1--1,8700800,8700806,COMPUTE
